Name,FIPS,#RenterOccupiedHousingUnits,#MovedSameCounty,#MovedSameState,#MovedNewState,MedianRent,MedianHomeValue,#VacantForRent
"Santa Barbara, CA",669070,22154,2648,1443,732,1731.078034,993600,322
"Woodsburgh, NY",3682986,3,16,0,0,2416.768665,993500,0
"Nissequogue, NY",3651286,0,40,0,3,2459.156322,992600,28
"Park City, UT",4958070,1444,542,129,342,1325.848611,991900,484
"Rollingwood, TX",4863008,49,76,26,0,,991400,0
"Brookmont, MD",2410500,73,70,2,0,2424.800016,990400,0
"Campbell, CA",610345,8006,1450,838,232,2092.319971,989600,438
"South Pasadena, CA",673220,5139,552,128,151,1658.465267,985000,354
"Dillon Beach, CA",619262,32,,,,,983700,57
"Coto de Caza, CA",616580,535,339,304,267,,983200,0
"El Granada, CA",621936,261,0,57,99,2097.733014,981400,53
"North Hills, NY",3653022,450,35,225,56,1700.186064,981400,0
"Duxbury, MA",2517860,118,96,0,0,2685.282225,979400,0
"West Lake Hills, TX",4877632,270,59,22,56,1409.966114,979200,35
"Alhambra Valley, CA",600898,15,35,31,0,,977500,0
"Mission Hills, KS",2047350,26,67,0,8,,976200,0
"Bannockburn, IL",1703610,30,14,0,83,915.8,974300,0
"El Segundo, CA",622412,3571,423,20,136,1780.285063,969700,93
"Acalanes Ridge, CA",600135,0,70,45,23,1437.138054,966400,0
"Shell Ridge, CA",671362,0,0,0,0,,965700,0
"Harvey Cedars, NJ",3430390,0,0,11,0,1525.787027,961500,3
"La Habra Heights, CA",639304,170,33,140,0,2412.4,960500,0
"Chevy Chase View, MD",2416775,0,75,0,16,,958900,0
"Franklin Lakes, NJ",3424990,448,41,166,58,2590.313729,955000,0
"Greenville, Westchester County, NY",3630642,109,120,6,54,1524.23664,954400,0
"Nantucket, MA",2543755,746,197,171,127,1717.037254,952100,408
"Ladera Heights, CA",639108,735,78,66,60,1855.12517,952000,102
"Golf, FL",1226550,4,2,0,0,,950000,0
"Great Neck Gardens, NY",3630202,37,43,30,0,,941800,0
"Naples, FL",1247625,2778,3583,718,524,1403.880463,941700,577
"Reliez Valley, CA",660279,32,297,21,72,2169.655563,940900,20
"Moss Beach, CA",649446,308,56,39,26,1687.790784,939600,0
"Berkeley, CA",606000,25383,1733,2379,1028,1620.266656,938400,437
"Kailua, Honolulu County, HI",1523150,3710,1075,157,582,2480.347431,938200,116
"Dover, MA",2517370,38,85,0,52,,937700,0
"Pleasanton, CA",657792,9106,2401,1434,481,2293.877015,933500,401
